Th I | 523.955207 | 1800 | 6d3.(4F).7s | *
Th II | 524.019671 | 640 | 5f.6d.(3H*).7s | 5f2.(3H).7s
Th I | 524.719711 | 540 | 6d3.(4F).7s | *
Th II | 524.765461 | 1900 | 6d.7s2 | 5f.(2F*).6d2.(3F)
Th II | 525.3443 | 830 | 5f.6d.(3P*).7s | 5f2.(1D).7s
Th I | 525.425891 | 550 | 5f.6d.7s2 | *
Th I | 525.836025 | 9200 | 6d2.7s2 | *
Th I | 526.010418 | 1500 | 6d3.(4F).7s | *
Th I | 526.147187 | 550 | 5f.6d.7s2 | *
Th I | 526.671021 | 4600 | 6d2.7s2 | *
Th I | 527.292676 | 710 | 6d3.(4F).7s | *
Th I | 527.411873 | 1800 | 6d2.7s2 | *
Th II | 527.750021 | 1300 | 5f.6d.(3H*).7s | 5f2.(3F).7s
Th I | 528.106874 | 1300 | 6d2.7s2 | 6d2.7s.7p
Th I | 529.181642 | 810 | 5f.6d.7s2 | *
Th I | 529.439703 | 1300 | 6d3.(4F).7s | *
Th I | 529.627859 | 1800 | 6d3.(4F).7s | *
Th I | 529.774301 | 2000 | 6d3.(4F).7s | *
Th I | 529.784788 | 630 | 5f.6d2.7s | *
Th I | 529.828247 | 2000 | 6d2.7s2 | 5f.6d2.7s
Th I | 530.052338 | 1100 | 6d3.(4F).7s | *
Th I | 530.698638 | 520 | 5f.6d.7s2 | *
Th II | 530.746550 | 890 | 5f.(2F*).6d2.(3F) | 5f2.(3H).6d
Th II | 531.026668 | 670 | 6d2.(3F).7s | 5f.(2F*).6d2.(3F)
Th I | 531.200165 | 7300 | 6d2.7s2 | 6d2.7s.7p
Th I | 531.252884 | 3400 | 6d3.(4F).7s | *
Th I | 531.290441 | 2200 | 6d2.7s2 | *
Th I | 531.749428 | 1500 | 5f.6d.7s2 | *
Th I | 532.3851 | 810 | 6d2.7s.7p | 6d4
Th II | 532.514385 | 840 | 5f.(2F*).6d2.(3F) | 5f.6d.(3F*).7p
Th I | 532.543149 | 630 | 5f.6d.7s2 | 6d4
Th I | 532.627743 | 1000 | 5f.6d.7s2 | *
Th I | 532.697568 | 4400 | 6d2.7s2 | 6d2.7s.7p
Th I | 533.008034 | 740 | 6d2.7s2 | *
Th I | 534.049829 | 520 | 6d3.(2H).7s | 6d3.7p
Th I | 534.0650 | 1100 | 6d3.(2D2).7s | *
Th I | 534.358118 | 11000 | 6d2.7s2 | *
Th I | 534.797111 | 980 | 6d2.7s2 | *
Th I | 535.112655 | 1300 | 5f.6d2.7s | *
Th I | 536.014998 | 2200 | 6d2.7s2 | 5f.6d2.7s
Th I | 536.115584 | 560 | 6d2.7s2 | *
Th I | 536.257516 | 790 | 6d2.7s2 | 6d2.7s.7p
Th I | 536.928168 | 900 | 6d3.(4F).7s | *
Th I | 536.944698 | 720 | 6d3.(4F).7s | *
Th I | 537.070951 | 570 | 6d2.7s2 | 6d2.7s.7p
Th I | 537.270280 | 820 | 5f.6d.7s2 | *
Th I | 537.482177 | 1800 | 6d2.7s2 | *
Th II | 537.535246 | 680 | 6d2.(3F).7s | 5f.(2F*).6d2.(3P)
Th II | 537.576884 | 610 | 6d3 | 6d2.(1G).7p
Th I | 537.678090 | 820 | 5f.6d.7s2 | *
Th I | 537.883571 | 1800 | 5f.6d.7s2 | *
Th I | 537.911036 | 3300 | 5f.6d.7s2 | 5f.6d.7s.7p
Th II | 538.292741 | 590 | 6d.(2D).7s2 | 5f.(2F*).6d2.(3F)
Th I | 538.661051 | 4700 | 6d2.7s2 | *
Th I | 538.805076 | 750 | 6d2.7s.7p | *
Th I | 539.042556 | 2400 | 6d3.(4F).7s | *
Th II | 539.046715 | 940 | 5f.6d.(3H*).7s | 5f2.(3H).7s
Th II | 539.257275 | 770 | 6d2.(3F).7s | 5f.(2F*).6d2.(3F)
Th I | 539.397182 | 850 | 6d3.(4F).7s | *
Th I | 539.476065 | 4100 | 6d2.7s2 | *
Th I | 539.870147 | 1300 | 6d3.(4F).7s | *
Th I | 539.892207 | 940 | 5f.6d2.7s | 5f.6d2.7p
Th I | 539.917439 | 1800 | 6d3.(4F).7s | *
Th I | 540.319931 | 760 | 5f.6d2.7s | *
Th I | 540.765355 | 4900 | 5f.6d.7s2 | 5f.6d.7s.7p
Th I | 541.076878 | 3700 | 6d3.(4F).7s | *
